game_id,turn_number,player,piece_moved,from_square,to_square,move_duration_sec,eval_score,is_promotion,promotion_piece
G20240901083700000,1,white,pawn,e2,e4,3.56,1.23,False,
G20240901083700000,2,black,pawn,e7,e5,0.0,1.6,False,
G20240901083700000,3,white,pawn,g1,f3,1.26,1.09,False,
G20240901083700000,4,black,pawn,b8,c6,0.0,1.17,False,
G20240901083700000,5,white,pawn,g1,b4,5.41,0.73,False,
G20240901083700000,6,black,bishop,a4,a3,0.0,0.48,False,
G20240901083700000,7,white,pawn,c2,e3,1.72,-0.2,False,
G20240901083700000,8,black,pawn,b1,d8,0.0,-0.49,False,
G20240901083700000,9,white,bishop,g6,h8,14.57,-0.45,False,
G20240901083700000,10,black,rook,b5,h6,0.0,0.29,False,
G20240901083700000,11,white,rook,e2,b7,8.28,-1.14,False,
G20240901083700000,12,black,knight,b6,f6,0.0,1.11,False,
G20240901083700000,13,white,bishop,h2,b5,18.17,0.81,False,
G20240901083700000,14,black,bishop,h5,g6,0.0,0.42,False,
G20240901083700000,15,white,pawn,h6,c2,18.8,0.56,False,
G20240901083700000,16,black,rook,g7,h2,0.0,1.42,False,
G20240901083700000,17,white,pawn,g5,c7,30.65,1.09,False,
G20240901083700000,18,black,pawn,g4,c2,0.0,2.14,False,
G20240901083700000,19,white,pawn,d4,a8,29.59,2.33,False,
G20240901083700000,20,black,knight,f3,a8,0.0,2.97,False,
G20240901083700000,21,white,queen,g7,g7,6.31,2.46,False,
G20240901083700000,22,black,pawn,d8,c2,0.0,1.98,False,
G20240901083700000,23,white,pawn,a2,a3,20.17,3.25,False,
G20240901083700000,24,black,pawn,d7,c5,0.0,2.52,False,
G20240901083700000,25,white,queen,f8,b2,30.17,3.54,False,
G20240901083700000,26,black,knight,b3,b6,0.0,3.22,False,
G20240901083700000,27,white,rook,h3,a4,33.43,2.33,False,
G20240901083700000,28,black,knight,a5,b5,0.0,2.05,False,
G20240901083700000,29,white,knight,c6,d6,23.37,0.4,False,
G20240901083700000,30,black,rook,d4,g4,0.0,-0.88,False,
G20240901083700000,31,white,pawn,h6,a1,28.28,-1.54,False,
G20240901083700000,32,black,bishop,f8,f6,0.0,-1.27,False,
G20240901083700000,33,white,pawn,b4,h4,13.81,-4.37,False,
G20240901083700000,34,black,bishop,a8,f2,0.0,-3.65,False,
G20240901083700000,35,white,rook,b7,d8,31.45,-4.81,False,
G20240901083700000,36,black,pawn,g8,g2,0.0,-3.77,False,
G20240901083700000,37,white,rook,c3,a3,21.91,-5.06,False,
G20240901083700000,38,black,bishop,h6,c3,0.0,-4.28,False,
G20240901083700000,39,white,pawn,b3,g4,29.44,-3.76,False,
G20240901083700000,40,black,pawn,d6,e7,0.0,-2.62,False,
G20240901083700000,41,white,queen,a6,h7,21.02,-2.01,False,
G20240901083700000,42,black,pawn,a8,c1,0.0,-2.23,False,
G20240901083700000,43,white,pawn,c8,b1,9.5,-3.47,False,
G20240901083700000,44,black,rook,b1,d4,0.0,-3.33,False,
G20240901083700000,45,white,pawn,b8,a2,12.19,-4.09,False,
G20240901083700000,46,black,bishop,e8,h4,0.0,-4.59,False,
G20240901083700000,47,white,rook,e4,h3,11.58,-5.0,False,
G20240901083700000,48,black,rook,g2,d5,0.0,-3.97,False,
G20240901083700000,49,white,rook,c6,c5,22.31,-2.92,False,
G20240901083700000,50,black,queen,g8,c4,0.0,-2.81,False,
G20240901083700000,51,white,pawn,g7,f7,6.5,-3.35,False,
G20240901083700000,52,black,pawn,h8,a7,0.0,-1.45,False,
G20240901083700000,53,white,pawn,e2,b4,24.35,-0.68,False,
G20240901083700000,54,black,pawn,c5,c7,0.0,-0.06,False,
G20240901083700000,55,white,queen,e7,c8,18.11,0.23,False,
G20240901083700000,56,black,rook,g2,e1,0.0,0.45,False,
G20240901083700000,57,white,rook,e2,d2,8.08,0.5,False,
G20240901083700000,58,black,king,g5,c1,0.0,0.61,False,
G20240901083700000,59,white,bishop,d2,c5,3.16,0.81,False,
G20240901083700000,60,black,pawn,d5,h3,0.0,1.69,False,
G20240901083700000,61,white,pawn,a5,a1,2.42,-1.53,False,
G20240901083700000,62,black,bishop,d8,b7,0.0,-1.48,False,
G20240901083700000,63,white,rook,g5,d4,9.88,-0.54,False,
G20240901083700000,64,black,rook,g6,a3,0.0,-1.96,False,
G20240901083700000,65,white,pawn,e7,c1,3.94,-0.63,False,
G20240901083700000,66,black,rook,e4,e1,0.0,-2.42,False,
G20240901083700000,67,white,knight,c5,h1,8.05,0.61,False,
G20240901083700000,68,black,bishop,d1,e4,0.0,-0.1,False,
G20240901083700000,69,white,pawn,a6,g2,12.92,-0.87,False,
G20240901083700000,70,black,bishop,a2,e2,0.0,-0.77,False,
G20240901083700000,71,black,(end),??,??,0.0,0.77,False,
G20240901132700001,1,white,pawn,e2,e4,0.0,-1.16,False,
G20240901132700001,2,black,pawn,e7,e5,6.25,-1.76,False,
G20240901132700001,3,white,pawn,g1,f3,0.0,-2.58,False,
G20240901132700001,4,black,pawn,b8,c6,7.15,-3.84,False,
G20240901132700001,5,white,pawn,f8,c5,0.0,-3.78,False,
G20240901132700001,6,black,pawn,g3,a4,1.6,-5.05,False,
G20240901132700001,7,white,pawn,f2,g8,0.0,-6.08,False,
G20240901132700001,8,black,bishop,h5,a8,6.58,-6.17,False,
G20240901132700001,9,white,rook,b2,h5,0.0,-4.88,False,
G20240901132700001,10,black,pawn,d4,h8,30.06,-6.5,False,
G20240901132700001,11,white,pawn,e1,d2,0.0,-6.76,False,
G20240901132700001,12,black,bishop,e3,a8,4.94,-6.82,False,
G20240901132700001,13,white,pawn,b4,h5,0.0,-6.48,False,
G20240901132700001,14,black,knight,b4,e2,32.96,-6.86,False,
G20240901132700001,15,white,pawn,h2,h5,0.0,-8.15,False,
G20240901132700001,16,black,queen,b2,c5,33.49,-5.92,False,
G20240901132700001,17,white,pawn,e2,f4,0.0,-7.67,False,
G20240901132700001,18,black,pawn,c1,h8,15.97,-7.06,False,
G20240901132700001,19,white,rook,g6,g6,0.0,-5.74,False,
G20240901132700001,20,black,pawn,f7,b4,25.82,-4.64,False,
G20240901132700001,21,white,queen,e5,f2,0.0,-7.39,False,
G20240901132700001,22,black,bishop,f7,e1,11.98,-4.32,False,
G20240901132700001,23,black,(end),??,??,0.0,4.32,False,
G20240901115300002,1,white,pawn,e2,e4,2.33,-1.93,False,
G20240901115300002,2,black,pawn,c7,c5,0.0,0.2,False,
G20240901115300002,3,white,pawn,g1,f3,7.19,0.78,False,
G20240901115300002,4,black,pawn,d7,d6,0.0,-0.72,False,
G20240901115300002,5,white,queen,d2,a7,4.16,-0.64,False,
G20240901115300002,6,black,pawn,a3,c8,0.0,-2.18,False,
G20240901115300002,7,white,knight,e5,e5,3.84,-1.92,False,
G20240901115300002,8,black,bishop,b3,c2,0.0,-0.5,False,
G20240901115300002,9,white,pawn,h4,h6,34.89,-1.04,False,
G20240901115300002,10,black,pawn,b3,f2,0.0,-0.77,False,
G20240901115300002,11,white,pawn,f5,d1,26.99,-1.68,False,
G20240901115300002,12,black,knight,g5,f1,0.0,-0.95,False,
G20240901115300002,13,white,knight,f3,d2,11.67,-0.86,False,
G20240901115300002,14,black,knight,e1,c1,0.0,0.32,False,
G20240901115300002,15,white,knight,h8,a2,15.53,2.14,False,
G20240901115300002,16,black,rook,h4,b4,0.0,1.05,False,
G20240901115300002,17,white,pawn,b8,b1,3.04,1.98,False,
G20240901115300002,18,black,pawn,e3,e7,0.0,2.84,False,
G20240901115300002,19,white,bishop,b2,b5,19.78,1.66,False,
G20240901115300002,20,black,pawn,a1,e8,0.0,0.98,False,
G20240901115300002,21,white,pawn,f4,h4,20.5,2.02,False,
G20240901115300002,22,black,bishop,a1,d8,0.0,2.07,False,
G20240901115300002,23,white,queen,g2,e4,24.36,2.61,False,
G20240901115300002,24,black,pawn,f7,f7,0.0,2.04,False,
G20240901115300002,25,white,pawn,e2,d8,34.04,1.1,False,
G20240901115300002,26,black,pawn,e2,h3,0.0,2.9,False,
G20240901115300002,27,white,queen,h7,a3,32.5,2.9,False,
G20240901115300002,28,black,bishop,g1,a3,0.0,2.75,False,
G20240901115300002,29,white,pawn,f2,b3,13.54,3.55,False,
G20240901115300002,30,black,rook,a5,g6,0.0,5.64,False,
G20240901115300002,31,white,king,h3,b1,5.5,6.2,False,
G20240901115300002,32,black,queen,d7,f5,0.0,6.26,False,
G20240901115300002,33,white,rook,g2,a8,9.26,4.6,False,
G20240901115300002,34,black,pawn,h1,g4,0.0,3.92,False,
G20240901115300002,35,white,rook,g1,g1,17.85,3.74,False,
G20240901115300002,36,black,pawn,b6,f5,0.0,3.07,False,
G20240901115300002,37,white,pawn,a5,f5,12.52,2.56,False,
G20240901115300002,38,black,rook,b1,d2,0.0,0.89,False,
G20240901115300002,39,white,knight,h7,e7,29.07,1.69,False,
G20240901115300002,40,black,pawn,e3,d6,0.0,2.51,False,
G20240901115300002,41,white,queen,h6,b4,11.01,2.92,False,
G20240901115300002,42,black,rook,h6,c7,0.0,3.64,False,
G20240901115300002,43,white,queen,b5,b4,4.22,1.61,False,
G20240901115300002,44,black,knight,d3,g8,0.0,1.5,False,
G20240901115300002,45,white,rook,d2,e5,8.43,1.29,False,
G20240901115300002,46,black,pawn,h4,c4,0.0,2.03,False,
G20240901115300002,47,white,pawn,e4,f2,11.11,3.18,False,
G20240901115300002,48,black,pawn,b8,a2,0.0,2.86,False,
G20240901115300002,49,white,pawn,d8,f1,22.17,2.67,False,
G20240901115300002,50,black,rook,d2,f3,0.0,2.81,False,
G20240901115300002,51,white,knight,e1,b6,7.01,2.17,False,
G20240901115300002,52,white,(end),??,??,0.0,2.17,False,
G20240901114400003,1,white,pawn,e2,e4,2.3,0.45,False,
G20240901114400003,2,black,pawn,c7,c5,0.0,0.13,False,
G20240901114400003,3,white,pawn,g1,f3,6.57,0.8,False,
G20240901114400003,4,black,pawn,d7,d6,0.0,0.36,False,
G20240901114400003,5,white,pawn,g3,b3,3.78,0.2,False,
G20240901114400003,6,black,pawn,e5,g1,0.0,-0.35,False,
G20240901114400003,7,white,knight,f4,g7,2.43,0.98,False,
G20240901114400003,8,black,pawn,c7,b2,0.0,-0.98,False,
G20240901114400003,9,white,knight,c3,a1,20.65,0.35,False,
G20240901114400003,10,black,bishop,g2,f3,0.0,0.89,False,
G20240901114400003,11,white,knight,b2,g8,27.11,1.51,False,
G20240901114400003,12,black,rook,d5,c1,0.0,2.66,False,
G20240901114400003,13,white,pawn,g2,c4,22.87,2.23,False,
G20240901114400003,14,black,bishop,d8,c4,0.0,4.6,False,
G20240901114400003,15,white,pawn,f2,c4,34.06,4.88,False,
G20240901114400003,16,black,rook,d1,a6,0.0,5.62,False,
G20240901114400003,17,white,knight,e7,e4,16.62,6.14,False,
G20240901114400003,18,black,bishop,h8,c1,0.0,8.91,False,
G20240901114400003,19,white,knight,h8,c8,15.81,8.23,False,
G20240901114400003,20,black,pawn,f7,f2,0.0,8.03,False,
G20240901114400003,21,white,bishop,a3,b6,27.88,6.11,False,
G20240901114400003,22,white,(end),??,??,0.0,6.11,False,
G20240901133400004,1,white,pawn,e2,e4,0.0,1.08,False,
G20240901133400004,2,black,pawn,e7,e5,4.44,3.93,False,
G20240901133400004,3,white,pawn,g1,f3,0.0,5.98,False,
G20240901133400004,4,black,pawn,b8,c6,2.16,4.85,False,
G20240901133400004,5,white,rook,d2,f5,0.0,5.72,False,
G20240901133400004,6,black,pawn,h3,e8,2.46,7.26,False,
G20240901133400004,7,white,pawn,d6,f1,0.0,7.01,False,
G20240901133400004,8,black,bishop,e6,g3,6.54,7.54,False,
G20240901133400004,9,white,pawn,a6,h2,0.0,6.89,False,
G20240901133400004,10,black,rook,f5,g6,21.48,7.74,False,
G20240901133400004,11,white,pawn,b8,d3,0.0,5.01,False,
G20240901133400004,12,black,pawn,e5,f1,26.91,2.8,False,
G20240901133400004,13,white,pawn,g7,f1,0.0,3.07,False,
G20240901133400004,14,white,(end),??,??,0.0,3.07,False,
G20240901112700005,1,white,pawn,d2,d4,3.89,0.58,False,
G20240901112700005,2,black,pawn,d7,d5,0.0,0.35,False,
G20240901112700005,3,white,pawn,c2,c4,3.56,0.89,False,
G20240901112700005,4,black,pawn,e7,e6,0.0,1.12,False,
G20240901112700005,5,white,pawn,d3,h2,1.45,0.46,False,
G20240901112700005,6,black,pawn,e7,e1,0.0,2.34,False,
G20240901112700005,7,white,bishop,h8,d3,7.32,2.87,False,
G20240901112700005,8,black,pawn,a7,c4,0.0,3.94,False,
G20240901112700005,9,white,pawn,d3,g4,19.58,5.68,False,
G20240901112700005,10,black,bishop,g3,e2,0.0,5.11,False,
G20240901112700005,11,white,queen,h1,g7,26.85,5.05,False,
G20240901112700005,12,black,knight,h3,d2,0.0,4.52,False,
G20240901112700005,13,white,pawn,e1,e7,24.94,5.76,False,
G20240901112700005,14,black,queen,e5,d2,0.0,5.42,False,
G20240901112700005,15,white,pawn,d4,c6,9.14,4.87,False,
G20240901112700005,16,black,pawn,d7,h8,0.0,5.37,False,
G20240901112700005,17,white,rook,g4,e4,15.53,3.52,False,
G20240901112700005,18,black,bishop,c3,a1,0.0,4.39,False,
